ID,Category,years_experience,education_level,certifications_count,skills_count,fit_score,fit_category
16852973,HR,15,2,3,1,20.0,Weak Fit
22323967,HR,0,4,0,2,40.0,Moderate Fit
33176873,HR,20,4,0,3,60.0,Strong Fit
27018550,HR,20,0,1,2,40.0,Moderate Fit
17812897,HR,0,3,0,4,80.0,Strong Fit
11592605,HR,0,0,2,1,20.0,Weak Fit
25824789,HR,0,3,0,2,40.0,Moderate Fit
15375009,HR,0,4,0,2,40.0,Moderate Fit
11847784,HR,15,3,0,4,80.0,Strong Fit
32896934,HR,0,3,2,0,0.0,Weak Fit
29149998,HR,3,2,1,2,40.0,Moderate Fit
11480899,HR,0,4,1,2,40.0,Moderate Fit
23155093,HR,0,2,0,4,80.0,Strong Fit
11763983,HR,0,4,1,2,40.0,Moderate Fit
27490876,HR,0,4,2,1,20.0,Weak Fit
32977530,HR,0,0,0,2,40.0,Moderate Fit
93002334,HR,0,3,1,2,40.0,Moderate Fit
24184357,HR,0,0,0,3,60.0,Strong Fit
73077810,HR,0,4,0,0,0.0,Weak Fit
13879043,HR,7,4,0,1,20.0,Weak Fit
30163002,HR,0,3,0,2,40.0,Moderate Fit
18827609,HR,3,3,0,5,100.0,Strong Fit
25676643,HR,9,4,0,5,100.0,Strong Fit
12786012,HR,0,4,2,2,40.0,Moderate Fit
87968870,HR,11,2,0,0,0.0,Weak Fit
46258701,HR,0,2,0,1,20.0,Weak Fit
14225422,HR,0,4,0,1,20.0,Weak Fit
29297973,HR,3,4,2,2,40.0,Moderate Fit
18334783,HR,20,4,0,4,80.0,Strong Fit
19717385,HR,0,4,2,2,40.0,Moderate Fit
49937469,HR,0,3,0,3,60.0,Strong Fit
18316239,HR,0,2,2,4,80.0,Strong Fit
17855844,HR,0,4,4,3,60.0,Strong Fit
57667857,HR,25,3,3,1,20.0,Weak Fit
17422560,HR,0,2,0,2,40.0,Moderate Fit
32947778,HR,0,3,0,3,60.0,Strong Fit
23914451,HR,0,3,1,2,40.0,Moderate Fit
21265194,HR,0,4,0,3,60.0,Strong Fit
51769822,HR,30,0,1,2,40.0,Moderate Fit
19616406,HR,10,0,2,1,20.0,Weak Fit
41523474,HR,0,4,0,2,40.0,Moderate Fit
59962788,HR,0,4,4,2,40.0,Moderate Fit
86184722,HR,0,4,0,2,40.0,Moderate Fit
28419173,HR,0,0,0,2,40.0,Moderate Fit
18155310,HR,0,2,4,2,40.0,Moderate Fit
